,participant.id,price,brand,horsepower,upholstery,sunroof,rating
1,1,"$23,000",Saturn,220 HP,Cloth,No,42
2,1,"$23,000",Saturn,220 HP,Cloth,Yes,38
3,1,"$23,000",Saturn,220 HP,Leather,No,52
4,1,"$23,000",Saturn,220 HP,Leather,Yes,58
5,1,"$23,000",Saturn,250 HP,Cloth,No,77
6,1,"$23,000",Saturn,250 HP,Cloth,Yes,47
7,1,"$23,000",Saturn,250 HP,Leather,No,54
8,1,"$23,000",Saturn,250 HP,Leather,Yes,57
9,1,"$23,000",Saturn,280 HP,Cloth,No,56
10,1,"$23,000",Saturn,280 HP,Cloth,Yes,54
11,1,"$23,000",Saturn,280 HP,Leather,No,57
12,1,"$23,000",Saturn,280 HP,Leather,Yes,52
13,1,"$23,000",Kia,220 HP,Cloth,No,53
14,1,"$23,000",Kia,220 HP,Cloth,Yes,35
15,1,"$23,000",Kia,220 HP,Leather,No,41
16,1,"$23,000",Kia,220 HP,Leather,Yes,53
17,1,"$23,000",Kia,250 HP,Cloth,No,59
18,1,"$23,000",Kia,250 HP,Cloth,Yes,56
19,1,"$23,000",Kia,250 HP,Leather,No,55
20,1,"$23,000",Kia,250 HP,Leather,Yes,42
21,1,"$23,000",Kia,280 HP,Cloth,No,50
22,1,"$23,000",Kia,280 HP,Cloth,Yes,48
23,1,"$23,000",Kia,280 HP,Leather,No,59
24,1,"$23,000",Kia,280 HP,Leather,Yes,64
25,1,"$23,000",Volkswagen,220 HP,Cloth,No,57
26,1,"$23,000",Volkswagen,220 HP,Cloth,Yes,45
27,1,"$23,000",Volkswagen,220 HP,Leather,No,45
28,1,"$23,000",Volkswagen,220 HP,Leather,Yes,58
29,1,"$23,000",Volkswagen,250 HP,Cloth,No,54
30,1,"$23,000",Volkswagen,250 HP,Cloth,Yes,53
31,1,"$23,000",Volkswagen,250 HP,Leather,No,71
32,1,"$23,000",Volkswagen,250 HP,Leather,Yes,55
33,1,"$23,000",Volkswagen,280 HP,Cloth,No,62
34,1,"$23,000",Volkswagen,280 HP,Cloth,Yes,48
35,1,"$23,000",Volkswagen,280 HP,Leather,No,50
36,1,"$23,000",Volkswagen,280 HP,Leather,Yes,43
37,1,"$23,000",Toyota,220 HP,Cloth,No,39
38,1,"$23,000",Toyota,220 HP,Cloth,Yes,53
39,1,"$23,000",Toyota,220 HP,Leather,No,51
40,1,"$23,000",Toyota,220 HP,Leather,Yes,61
41,1,"$23,000",Toyota,250 HP,Cloth,No,45
