participant.id,camera,size,pinch.to.zoom,rubberbanding,price,rating
1,12mp,5.8in,No,No,$199,48
1,12mp,5.8in,No,No,$359,39
1,12mp,5.8in,No,No,$499,50
1,12mp,5.8in,No,No,$659,52
1,12mp,5.8in,No,Yes,$199,81
1,12mp,5.8in,No,Yes,$359,46
1,12mp,5.8in,No,Yes,$499,50
1,12mp,5.8in,No,Yes,$659,49
1,12mp,5.8in,Yes,No,$199,59
1,12mp,5.8in,Yes,No,$359,53
1,12mp,5.8in,Yes,No,$499,53
1,12mp,5.8in,Yes,No,$659,45
1,12mp,5.8in,Yes,Yes,$199,62
1,12mp,5.8in,Yes,Yes,$359,40
1,12mp,5.8in,Yes,Yes,$499,43
1,12mp,5.8in,Yes,Yes,$659,52
1,12mp,6.1in,No,No,$199,64
1,12mp,6.1in,No,No,$359,56
1,12mp,6.1in,No,No,$499,51
1,12mp,6.1in,No,No,$659,36
1,12mp,6.1in,No,Yes,$199,55
1,12mp,6.1in,No,Yes,$359,49
1,12mp,6.1in,No,Yes,$499,57
1,12mp,6.1in,No,Yes,$659,59
1,12mp,6.1in,Yes,No,$199,64
1,12mp,6.1in,Yes,No,$359,48
1,12mp,6.1in,Yes,No,$499,44
1,12mp,6.1in,Yes,No,$659,55
1,12mp,6.1in,Yes,Yes,$199,59
1,12mp,6.1in,Yes,Yes,$359,53
1,12mp,6.1in,Yes,Yes,$499,68
1,12mp,6.1in,Yes,Yes,$659,50
1,12mp,6.4in,No,No,$199,63
1,12mp,6.4in,No,No,$359,45
1,12mp,6.4in,No,No,$499,44
1,12mp,6.4in,No,No,$659,33
1,12mp,6.4in,No,Yes,$199,45
1,12mp,6.4in,No,Yes,$359,54
1,12mp,6.4in,No,Yes,$499,49
1,12mp,6.4in,No,Yes,$659,56
1,12mp,6.4in,Yes,No,$199,48
1,12mp,6.4in,Yes,No,$359,35
1,12mp,6.4in,Yes,No,$499,44
1,12mp,6.4in,Yes,No,$659,48
1,12mp,6.4in,Yes,Yes,$199,51
1,12mp,6.4in,Yes,Yes,$359,48
1,12mp,6.4in,Yes,Yes,$499,70
1,12mp,6.4in,Yes,Yes,$659,58
1,3mp,5.8in,No,No,$199,44
1,3mp,5.8in,No,No,$359,40
1,3mp,5.8in,No,No,$499,35
1,3mp,5.8in,No,No,$659,43
1,3mp,5.8in,No,Yes,$199,71
1,3mp,5.8in,No,Yes,$359,62
1,3mp,5.8in,No,Yes,$499,43
1,3mp,5.8in,No,Yes,$659,52
1,3mp,5.8in,Yes,No,$199,52
1,3mp,5.8in,Yes,No,$359,46
1,3mp,5.8in,Yes,No,$499,46
1,3mp,5.8in,Yes,No,$659,52
1,3mp,5.8in,Yes,Yes,$199,56
1,3mp,5.8in,Yes,Yes,$359,39
1,3mp,5.8in,Yes,Yes,$499,48
1,3mp,5.8in,Yes,Yes,$659,51
1,3mp,6.1in,No,No,$199,51
1,3mp,6.1in,No,No,$359,54
1,3mp,6.1in,No,No,$499,47
1,3mp,6.1in,No,No,$659,54
1,3mp,6.1in,No,Yes,$199,55
1,3mp,6.1in,No,Yes,$359,63
1,3mp,6.1in,No,Yes,$499,49
1,3mp,6.1in,No,Yes,$659,43
1,3mp,6.1in,Yes,No,$199,42
1,3mp,6.1in,Yes,No,$359,51
1,3mp,6.1in,Yes,No,$499,49
